1
2500 50 50
893 373 196 212
651 611 613 978
538 407 603 591
777 219 340 857
830 975 320 890
614 833 514 881
400 549 441 126
732 630 303 683
559 195 263 610
740 667 554 798
246 577 979 218
757 527 893 958
533 126 325 802
972 726 388 667
584 221 402 40
848 544 379 819
139 755 827 232
960 427 332 184
188 316 284 25
997 123 826 771
251 766 12 29
389 880 678 331
365 133 934 20
59 774 279 36
992 237 129 572
909 270 223 282
508 555 279 786
74 573 62 172
297 458 80 171
195 107 487 543
657 55 58 313
40 826 942 549
895 93 464 635
148 571 23 816
759 139 282 111
549 942 3 650
683 366 989 38
638 171 771 560
969 411 583 873
281 650 832 168
557 595 917 251
677 743 233 107
175 647 802 720
497 650 514 838
54 766 605 80
65 564 71 533
659 927 391 340
380 466 142 819
524 130 22 677
670 508 380 899
470 745 432 211
513 634 716 511
282 171 638 875
357 831 484 1
595 557 515 765
203 898 689 377
816 799 657 417
80 409 682 310
448 277 129 658
881 434 365 3
755 753 573 416
523 635 460 233
479 765 651 586
388 491 11 921
369 327 126 303
207 19 254 88
789 307 577 388
284 307 376 795
872 946 65 518
697 580 940 396
380 842 893 466
824 732 687 143
263 471 195 418
716 171 115 606
531 89 299 569
460 51 224 926
211 962 817 390
790 726 189 803
481 124 894 821
994 307 444 904
301 583 58 125
814 700 355 816
390 136 490 599
768 94 938 710
751 493 342 520
658 405 147 709
309 937 280 661
49 278 746 394
564 780 659 340
875 742 910 634
334 525 849 842
743 36 279 718
363 46 385 505
594 834 299 541
671 912 479 80
27 34 319 549
28 380 545 269
902 803 513 189
55 168 367 500
776 21 502 486
879 364 400 326
243 19 635 358
521 204 96 401
13 870 690 518
511 892 81 716
853 349 404 24
288 224 347 886
131 425 994 212
741 765 121 257
80 564 65 251
868 873 536 912
470 480 134 715
498 150 364 311
683 667 51 4
971 438 385 67
38 340 944 83
316 839 730 360
70 399 657 313
924 230 586 651
383 174 650 12
590 783 327 783
947 929 188 23
823 600 525 925
143 47 137 830
838 980 777 857
367 554 117 550
279 702 371 718
807 906 195 543
71 564 90 538
938 275 142 710
546 399 319 238
644 905 401 235
473 252 16 882
486 964 460 536
23 402 955 820
443 176 660 725
942 623 162 725
498 337 825 908
666 566 521 449
245 83 827 187
537 380 508 4
59 250 473 417
196 825 326 466
910 378 589 654
75 210 64 366
56 762 554 431
190 876 323 90
881 446 453 227
454 960 959 426
264 327 369 4
406 650 555 295
719 580 785 31
129 401 96 101
87 925 386 118
663 826 344 254
870 129 897 892
515 29 12 150
978 738 717 286
662 537 4 51
945 565 810 299
446 898 392 852
364 22 648 911
602 415 927 177
671 411 368 196
305 129 129 477
892 600 690 870
795 18 779 183
525 827 385 46
638 876 365 139
128 896 16 947
528 817 455 525
239 953 690 600
212 790 803 761
18 603 500 121
834 301 665 685
101 864 270 956
683 4 508 930
871 70 770 783
61 313 530 907
314 867 589 565
500 752 218 872
743 718 929 951
421 172 680 380
665 773 925 216
894 92 220 898
511 716 787 968
654 843 770 194
235 401 853 24
893 726 790 373
612 111 981 13
20 959 472 350
515 74 172 263
323 572 70 313
683 677 728 319
83 584 141 704
194 830 536 662
761 874 742 212
304 851 774 894
282 145 938 494
132 746 898 324
612 742 494 233
46 701 567 521
773 158 884 859
281 542 544 489
536 16 489 999
401 905 23 504
716 532 640 954
663 254 65 349
715 667 556 831
27 762 937 34
921 45 152 388
489 580 133 307
874 568 831 838
943 545 375 636
207 342 802 805
489 808 573 74
534 765 479 726
857 861 34 960
322 859 884 854
463 969 314 733
839 627 489 714
578 533 802 953
716 880 65 446
470 819 728 60
643 937 261 209
255 80 390 714
625 337 473 574
960 74 880 7
16 311 560 89
319 703 449 915
716 239 486 944
59 710 333 354
637 865 216 366
268 991 773 367
287 337 671 389
430 147 328 169
738 850 683 319
62 412 19 207
641 270 385 696
930 382 807 597
757 881 609 783
375 194 39 546
182 687 110 263
938 142 666 714
11 333 932 931
599 419 864 528
466 606 594 988
115 703 913 874
960 34 510 959
308 742 251 23
654 653 111 759
797 271 510 296
722 491 209 719
591 544 800 760
853 296 693 186
872 793 908 825
237 717 369 303
813 284 516 674
714 147 610 263
782 33 597 288
339 822 789 912
667 683 237 614
639 60 51 601
53 489 355 194
708 414 36 128
176 67 129 528
127 591 910 742
7 820 955 791
83 245 398 56
695 682 18 795
602 706 652 415
435 249 16 896
500 482 355 748
425 101 224 861
776 626 970 6
207 621 547 513
213 376 520 123
843 294 769 208
389 688 150 809
482 296 853 494
597 991 268 288
908 584 872 615
612 233 706 602
429 907 727 12
232 126 965 833
753 728 319 375
389 614 881 3
771 945 89 560
306 313 618 382
543 117 554 667
355 811 349 652
910 443 929 940
660 906 807 992
960 412 61 443
671 300 71 823
794 189 882 16
663 981 572 19
310 90 564 80
83 678 238 107
131 84 658 134
294 854 884 139
761 397 832 650
971 88 458 635
253 647 874 996
483 131 726 378
893 594 541 409
339 897 338 822
31 225 576 919
375 545 914 490
263 418 143 72
111 846 127 413
976 466 988 12
917 212 836 991
374 139 518 231
591 4 369 717
45 362 411 449
827 755 640 187
510 575 634 173
393 339 365 818
305 715 129 211
391 879 368 550
911 575 227 573
214 457 682 206
991 212 220 92
291 725 660 914
463 473 547 969
612 438 221 743
657 43 895 41
704 212 853 186
133 936 699 777
652 349 853 155
588 14 224 565
300 211 676 71
52 593 183 318
279 667 388 303
57 586 446 903
288 662 917 618
979 750 211 336
951 337 414 127
752 629 496 576
55 342 212 366
834 685 431 993
296 89 945 131
319 915 237 54
650 406 886 874
837 179 224 14
222 318 381 746
664 264 729 760
629 619 278 91
189 881 227 118
596 388 726 131
947 742 28 619
521 178 15 890
773 407 238 334
956 783 722 937
801 884 545 531
642 971 909 33
36 721 667 128
240 513 51 413
726 859 18 77
121 700 391 18
639 654 391 927
787 382 670 909
496 111 882 576
238 538 90 324
233 290 673 252
234 66 719 884
61 994 791 704
851 691 486 476
853 848 739 237
425 962 95 541
675 720 513 828
670 742 691 895
24 551 170 176
963 875 542 629
434 881 514 361
336 46 502 233
275 525 645 593
764 189 55 500
49 654 844 546
387 830 404 473
902 614 237 799
993 208 769 893
915 327 377 547
662 668 463 537
113 384 262 943
300 507 577 43
536 873 927 490
187 330 313 306
145 911 648 43
848 837 347 224
654 457 456 843
376 594 964 627
444 956 489 821
212 149 67 836
319 528 389 677
28 742 715 739
969 505 117 824
299 791 994 669
533 682 954 7
676 886 389 125
591 516 396 139
126 369 288 618
133 907 533 736
261 214 945 614
635 523 569 182
547 377 596 469
578 885 875 906
331 848 132 389
628 918 118 376
48 285 953 179
902 189 726 612
660 643 209 491
688 809 769 294
292 746 428 566
452 508 324 898
849 689 558 957
668 356 630 432
365 445 48 3
816 600 823 599
296 339 454 674
495 825 202 591
865 249 658 20
856 364 976 12
515 777 565 32
464 107 58 478
573 51 342 416
77 146 534 726
689 28 269 377
60 359 851 51
141 920 429 12
665 337 10 979
667 646 688 820
347 145 337 665
709 48 72 167
908 873 665 216
421 836 103 172
622 118 386 684
780 564 830 235
339 938 751 162
745 338 488 632
640 789 164 868
523 466 989 456
24 387 139 551
577 751 186 968
182 445 143 687
437 310 84 350
917 991 336 205
133 365 224 51
396 355 489 627
107 531 569 523
898 849 827 188
57 707 22 364
545 884 165 753
622 303 134 357
428 84 834 566
111 991 735 981
563 575 510 371
962 537 128 61
555 885 892 511
674 454 118 918
856 12 454 339
704 141 47 13
966 675 828 583
16 514 650 794
290 999 463 551
241 792 75 982
596 377 563 371
921 752 841 115
546 173 197 375
453 783 337 655
573 521 225 904
853 401 504 155
173 766 459 256
93 895 926 995
222 456 214 261
614 656 881 310
957 985 56 486
550 626 776 4
352 549 319 424
929 443 640 211
617 767 700 10
415 25 929 153
725 695 447 614
753 323 477 734
695 528 650 3
171 269 364 790
719 209 261 181
667 835 57 543
660 960 443 233
132 721 830 565
67 725 614 836
237 683 930 597
663 94 519 612
183 45 621 318
97 460 964 728
738 319 148 717
911 718 155 758
516 508 786 144
390 975 175 136
897 225 633 360
366 116 286 637
653 654 219 777
23 155 718 947
735 354 751 637
89 336 232 13
980 686 653 777
908 536 31 498
458 88 254 135
851 109 224 101
278 777 603 667
536 999 252 652
541 299 822 121
247 395 686 560
178 127 256 192
340 38 989 771
142 914 234 653
668 416 986 450
733 626 914 170
56 382 10 63
634 580 719 463
765 63 10 618
718 930 532 508
194 490 715 72
618 132 676 125
126 698 546 420
499 405 606 451
668 662 464 103
896 900 81 929
510 850 738 978
903 715 707 57
502 324 90 310
732 603 667 230
40 458 68 851
928 293 189 665
695 22 411 528
710 1 347 658
985 520 722 60
358 72 48 492
46 566 834 803
409 80 251 29
658 921 279 339
405 954 117 606
50 473 250 457
191 67 385 413
849 71 212 742
989 323 91 278
338 848 519 488
262 382 773 224
54 80 255 410
757 525 654 881
502 666 449 703
971 635 616 909
610 15 404 490
994 606 167 865
64 655 591 969
150 645 494 282
985 957 558 775
174 384 658 650
504 262 591 532
192 775 603 657
416 918 848 755
52 490 768 283
938 353 295 937
897 360 619 982
639 425 23 332
29 515 392 409
953 800 234 209
603 18 47 82
184 964 897 473
765 389 3 48
842 709 482 334
327 783 563 377
211 432 284 456
342 51 371 75
829 340 219 1
28 600 787 716
664 600 327 264
479 912 677 547
677 516 306 547
826 765 741 659
289 362 316 805
214 206 978 931
55 366 32 103
394 297 148 769
618 143 180 126
616 635 647 220
650 874 773 240
10 352 132 618
891 68 296 663
237 992 192 54
552 900 824 143
689 220 233 443
29 579 198 197
716 954 914 865
719 66 400 364
390 817 378 565
94 594 880 74
31 345 929 390
306 107 341 547
354 288 348 324
288 268 948 346
266 300 671 196
946 872 825 550
550 84 453 946
989 103 354 486
910 355 652 49
518 758 165 884
819 690 719 181
798 554 367 356
996 880 645 150
12 766 31 785
886 406 864 101
803 934 790 834
634 910 197 173
836 826 659 705
544 662 87 379
993 893 252 567
634 392 986 312
257 28 739 897
332 716 964 184
544 83 56 61
349 799 174 663
688 294 851 962
92 354 735 991
125 389 809 530
482 107 743 258
310 682 666 502
487 476 360 543
815 595 763 978
358 635 486 805
699 521 567 777
670 965 584 40
396 627 279 528
75 366 693 982
61 214 931 932
591 603 930 718
560 254 513 945
308 688 776 444
212 991 111 893
826 861 401 941
358 805 883 430
311 707 144 786
873 54 410 732
551 164 924 759
474 936 513 511
689 273 774 220
627 839 316 279
356 849 952 630
498 824 33 951
715 305 519 902
669 296 482 299
944 23 456 647
8 654 759 451
530 308 23 907
113 714 489 53
342 238 577 838
339 896 929 256
972 98 378 726
658 753 734 629
828 513 254 525
206 682 695 987
648 500 296 131
617 651 149 212
293 752 115 171
596 794 162 521
75 378 676 342
722 212 470 60
511 176 170 163
165 873 558 689
67 430 312 928
268 728 753 94
714 925 368 611
463 31 609 252
210 506 904 64
324 998 947 354
211 791 640 487
282 496 11 290
603 775 388 667
639 148 468 656
995 336 89 93
634 258 661 280
915 288 15 244
660 490 404 643
783 956 191 757
87 775 558 873
741 588 565 945
803 336 486 56
484 378 524 677
237 915 401 129
799 395 247 657
194 165 758 566
296 816 590 993
289 103 46 578
702 251 50 371
71 538 805 588
585 912 739 186
69 921 115 846
332 23 837 902
510 718 339 296
175 639 597 807
878 758 553 279
823 833 390 599
126 243 169 805
632 409 435 896
19 412 971 520
595 815 324 399
416 342 676 918
336 232 544 306
657 639 175 975
131 712 33 473
906 969 718 195
337 625 989 366
583 960 7 954
312 627 161 634
161 68 355 957
502 431 506 525
347 665 775 87
464 478 537 962
852 392 634 789
761 765 515 874
938 145 378 962
94 612 281 535
953 87 224 179
319 399 674 528
715 742 830 707
105 157 741 566
741 257 996 126
837 862 325 966
880 285 847 541
285 700 171 80
6 894 375 195
4 503 916 572
219 654 8 1
969 65 254 954
461 212 704 791
706 233 212 461
176 759 686 457
68 629 625 174
782 319 951 33
594 850 709 393
116 426 959 943
841 901 431 583
306 316 420 107
975 265 402 23
680 685 771 760
38 83 209 683
257 148 297 709
645 915 116 941
16 163 915 645
648 22 564 340
770 843 742 333
24 922 182 263
695 795 439 154
559 537 765 826
899 10 991 79
577 238 407 538
912 536 142 658
147 937 350 610
697 425 123 941
55 644 518 69
702 279 774 273
835 117 680 57
572 981 608 850
417 986 707 311
461 137 409 204
65 296 807 454
84 629 571 9
230 789 76 867
454 729 510 633
354 333 319 728
142 756 287 819
841 218 521 292
555 186 786 72
51 664 760 882
123 389 710 507
356 16 645 798
510 600 892 804
541 838 857 425
646 842 380 734
15 676 378 145
875 674 150 282
521 573 891 590
583 431 618 947
354 846 111 496
121 944 970 257
125 530 765 618
272 203 691 851
252 956 671 80
380 819 123 734
51 573 719 396
676 15 902 918
51 843 995 601
574 23 905 364
725 241 414 468
345 31 536 919
789 957 383 113
848 945 214 837
971 67 36 743
606 975 458 932
654 210 43 391
677 22 274 83
431 554 448 516
473 882 599 547
357 641 308 530
860 332 427 615
20 934 736 385
237 114 928 717
453 84 9 227
113 680 895 486
154 142 976 872
568 824 900 831
336 416 952 486
824 568 869 732
632 299 834 853
851 834 355 109
645 802 282 494
776 659 69 4
520 985 545 123
210 337 145 43
216 865 254 929
840 205 173 414
482 494 742 330
431 729 157 618
293 356 847 540
131 966 325 867
703 937 802 773
466 900 428 142
188 480 470 457
838 627 456 980
126 750 979 965
536 848 709 842
274 303 545 101
61 907 689 443
925 525 506 210
84 789 882 126
630 952 416 809
565 49 270 909
428 381 756 142
513 358 492 600
396 528 818 344
525 455 104 654
378 75 95 962
969 824 212 342
999 895 510 252
93 518 2 704
846 495 591 127
272 707 531 545
591 760 157 4
505 67 149 117
657 703 323 776
323 72 803 837
578 906 471 176
209 83 22 130
583 846 115 841
638 334 377 876
660 133 777 490
724 928 218 680
887 998 486 895
635 826 515 486
510 969 541 380
480 530 163 134
412 640 313 61
834 862 837 803
43 502 586 49
732 837 298 630
114 785 18 518
225 897 263 490
273 689 907 23
384 573 336 995
510 17 234 476
757 596 371 380
663 460 635 278
126 533 959 698
810 87 1 182
352 10 382 82
611 368 245 649
129 981 735 637
461 204 129 324
120 306 382 238
43 181 469 516
996 270 864 983
808 155 868 113
515 281 489 74
876 615 481 22
220 357 134 535
204 11 763 96
799 349 40 256
228 658 301 125
364 911 609 49
729 579 29 510
240 474 555 650
368 411 969 550
667 820 573 868
674 516 677 528
492 351 594 290
301 357 220 40
113 502 46 803
460 663 31 83
652 179 886 519
83 274 545 192
838 577 152 576
126 492 48 256
11 238 146 740
115 752 40 697
376 694 831 556
608 590 934 5
420 567 325 126
712 173 333 742
116 450 468 426
963 629 68 944
787 705 577 968
17 880 591 234
432 745 632 879
374 11 979 809
805 486 857 807
709 91 319 333
224 109 24 43
140 769 148 415
985 60 728 320
503 32 565 154
463 733 776 323
995 843 208 522
191 406 556 59
794 510 599 528
955 211 640 791
282 150 337 366
278 690 849 663
571 629 178 793
111 653 686 759
748 36 318 510
904 925 773 64
288 346 137 782
506 95 75 371
459 54 192 256
755 447 135 640
474 240 96 35
321 249 536 874
734 353 58 431
228 542 281 276
282 802 845 434
314 969 269 545
921 11 496 547
806 652 519 35
344 699 275 871
667 603 490 556
450 986 314 565
599 882 189 331
674 262 137 800
306 182 205 336
593 52 275 871
256 48 709 850
594 351 728 870
523 543 57 466
61 425 799 104
995 803 396 719
593 825 495 293
837 541 953 298
842 854 521 162
196 61 128 947
871 275 980 70
553 311 786 279
658 914 954 912
118 352 525 275
750 126 31 919
452 285 80 508
909 828 390 565
359 16 356 142
573 820 232 336
69 846 998 474
13 334 482 728
124 493 751 354
689 921 139 28
948 765 142 346
18 785 853 77
901 760 729 431
449 424 424 175
941 123 997 826
641 791 327 270
828 964 211 390
663 849 404 31
588 507 448 579
613 580 634 241
386 264 565 589
641 357 1 31
31 126 232 207
871 275 919 576
132 324 425 131
388 518 628 491
572 850 994 639
578 683 922 817
573 808 162 335
360 307 685 680
454 633 363 505
577 521 870 728
584 610 567 701
495 846 354 293
340 391 43 648
652 806 207 401
24 109 355 68
173 116 943 716
989 625 997 771
671 258 389 912
194 566 788 654
484 425 609 881
256 443 537 339
807 543 360 730
630 995 522 510
130 945 771 209
278 667 279 541
550 4 916 503
694 353 953 252
594 153 502 875
131 212 722 307
232 830 368 925
848 407 798 132
424 988 69 859
448 658 396 516
111 739 715 903
276 281 515 456
279 139 365 339
831 357 530 313
349 811 31 404
492 191 659 780
362 451 206 935
857 521 577 460
903 446 852 111
915 244 842 646
658 129 234 953
203 821 894 898
133 710 513 936
954 838 970 253
938 54 924 137
921 196 518 139
728 326 680 594
555 511 968 186
697 341 107 580
710 491 722 606
239 183 886 953
948 133 580 277
549 640 412 887
815 969 342 727
757 958 178 752
99 121 822 185
402 265 347 1
56 398 622 457
64 725 291 935
992 793 178 192
626 66 234 914
304 516 359 622
930 603 258 634
902 837 14 614
951 629 84 550
262 224 606 985
540 551 463 252
528 218 536 971
603 26 927 490
58 583 6 699
308 252 269 171
395 385 797 686
342 950 960 520
401 43 565 97
167 836 421 847
705 659 805 731
486 290 594 794
940 481 967 486
956 444 776 101
521 890 559 292
438 84 402 221
573 227 547 469
961 805 802 895
68 891 816 417
950 474 427 960
211 275 52 35
333 645 753 770
981 290 590 608
17 44 760 771
556 969 233 220
57 364 49 586
995 719 183 779
354 932 458 297
677 683 602 766
909 533 912 787
121 765 537 914
292 421 16 268
696 385 171 700
393 709 167 453
176 924 176 405
560 873 908 277
759 882 796 47
87 118 717 148
995 779 17 771
953 326 825 298
518 902 612 13
729 996 874 743
588 734 123 507
543 523 263 117
32 366 139 777
168 176 991 266
307 146 657 489
803 764 500 513
900 466 893 527
58 55 993 431
515 263 523 456
220 815 727 446
533 71 588 912
668 759 899 416
284 67 928 957
36 414 233 404
464 741 945 550
954 682 249 973
61 104 198 976
24 176 421 565
714 875 72 699
550 834 993 391
328 407 848 731
752 293 928 724
694 793 295 353
654 49 355 910
288 504 967 348
456 284 55 657
519 62 573 335
204 126 129 129
800 389 765 234
8 809 402 1
594 783 590 153
189 256 40 549
338 290 796 822
530 809 867 76
900 179 698 831
107 464 93 89
400 633 425 335
234 591 655 337
740 146 77 853
929 565 777 951
96 240 773 991
197 761 743 29
41 133 948 187
833 160 582 165
668 432 874 886
650 281 744 337
254 257 634 218
869 260 452 732
376 26 822 694
766 54 873 459
102 486 354 297
993 313 572 916
473 900 425 574
823 384 174 583
922 24 503 154
369 126 286 116
756 431 516 591
928 544 591 717
68 417 67 284
518 71 849 231
97 697 941 401
789 634 161 957
352 965 979 132
740 853 778 285
168 766 486 967
715 490 914 660
857 460 198 41
831 117 835 409
885 578 108 892
249 435 121 99
76 803 189 513
729 56 378 98
218 979 152 967
142 275 476 359
502 113 282 473
447 695 458 135
40 349 65 826
301 767 419 599
321 874 777 515
504 532 489 967
392 324 397 761
279 921 115 921
618 917 525 143
249 123 928 114
915 476 234 337
632 425 10 242
848 819 181 337
246 645 333 173
831 335 425 484
794 596 776 486
186 181 61 704
290 486 502 865
497 838 831 698
421 176 511 16
674 376 556 490
182 306 932 333
225 31 207 904
468 139 366 212
979 500 402 809
508 532 474 35
716 985 697 715
18 682 457 622
222 522 510 318
107 238 319 677
65 946 453 446
224 773 802 880
666 783 684 386
545 411 291 914
155 23 250 59
835 667 740 409
59 940 743 121
577 619 709 460
80 479 466 326
294 139 396 209
777 710 10 899
390 80 605 634
591 911 758 878
848 331 705 731
529 451 606 579
316 362 645 525
680 383 12 413
742 854 842 691
263 72 715 924
366 64 773 181
430 169 243 358
32 106 46 103
518 802 937 295
103 192 682 668
757 518 150 498
204 521 566 741
232 827 83 544
342 838 798 971
947 718 877 123
667 868 155 940
468 12 650 65
218 301 969 873
391 854 982 619
105 392 793 157
451 374 809 8
514 678 801 361
639 657 146 799
435 489 296 500
629 734 354 496
290 338 647 999
962 61 887 213
364 638 560 311
55 528 279 971
985 606 115 697
46 481 629 701
380 28 139 374
468 813 720 656
94 448 507 710
165 678 514 833
861 224 43 401
381 729 584 965
301 978 286 355
380 719 31 899
831 846 510 117
489 682 241 580
383 415 897 113
774 59 556 220
493 473 300 339
21 522 851 476
296 277 982 693
170 379 727 733
17 779 18 622
473 337 150 927
121 743 761 266
574 425 861 826
324 129 305 397
269 50 457 470
682 105 566 666
216 865 249 865
708 128 728 964
282 366 683 171
232 37 347 265
695 386 589 22
964 804 892 897
762 487 863 554
409 392 105 682
333 11 204 741
502 45 38 239
577 538 967 152
606 634 513 710
521 699 950 342
469 596 757 943
279 921 354 139
657 128 913 703
875 994 275 699
999 647 175 424
536 23 739 848
396 320 956 830
910 49 565 378
425 61 653 864
742 816 552 751
863 277 448 554
811 39 611 486
145 282 434 15
518 824 498 758
660 233 969 906
710 392 761 354
181 186 693 366
894 943 636 664
94 768 62 519
417 657 430 67
928 665 301 218
320 600 816 890
837 214 456 23
239 38 884 719
214 61 56 457
203 336 233 414
283 649 245 52
516 144 502 43
809 367 432 630
793 392 515 186
525 688 827 849
255 714 611 616
880 389 802 645
254 218 390 929
445 751 552 143
732 49 611 39
612 316 912 438
146 307 639 332
724 117 40 752
500 34 652 322
23 227 223 504
925 87 876 22
611 651 617 150
279 252 953 541
817 615 794 650
15 288 886 890
590 167 72 153
36 309 220 535
410 659 424 449
915 795 887 38
830 763 825 196
511 951 319 16
545 985 320 181
857 340 939 425
380 313 19 45
908 528 191 15
840 915 163 530
548 895 802 567
418 195 559 13
740 941 619 409
277 296 482 948
52 318 806 35
218 528 760 44
84 438 912 789
864 489 607 528
994 187 654 639
991 176 528 79
205 605 766 173
19 313 546 39
895 691 857 41
309 631 923 477
979 814 56 985
411 168 251 917
867 471 186 739
437 350 937 762
798 581 528 971
632 196 368 879
912 588 283 768
663 865 502 673
292 268 729 98
886 676 336 519
652 757 498 536
800 653 614 389
685 118 734 431
489 5 72 607
623 942 293 540
697 755 663 425
82 680 212 603
535 281 762 274
675 449 175 720
739 912 234 765
701 629 872 584
900 552 816 179
434 439 753 755
710 636 375 662
477 293 354 734
822 93 716 694
560 656 499 451
471 867 344 818
816 284 957 539
969 591 880 541
11 491 627 290
844 509 656 720
313 58 353 323
950 699 936 474
179 702 229 688
162 751 43 9
921 689 898 220
144 874 536 265
565 43 24 245
510 522 342 207
364 269 132 976
521 342 493 46
178 629 951 127
607 876 794 528
820 431 502 23
510 978 301 599
925 792 833 823
929 108 405 256
771 826 236 340
882 111 413 51
481 56 548 22
657 399 324 456
793 872 518 295
819 285 880 17
732 39 26 603
486 851 101 811
702 179 652 401
476 715 134 359
775 192 103 24
934 590 474 790
510 522 21 338
364 905 644 55
640 443 863 487
840 249 114 343
970 944 647 253
659 741 126 805
832 67 176 168
327 915 337 783
971 144 265 438
148 816 25 468
819 17 510 728
328 471 818 257
353 597 567 420
373 790 212 71
229 988 150 688
634 463 668 682
840 498 31 390
546 12 727 379
293 354 728 268
647 635 458 695
802 518 65 880
509 589 359 60
388 596 97 728
821 203 599 331
873 319 54 459
983 455 396 996
49 394 769 611
908 980 904 277
594 376 118 988
41 639 307 133
125 309 766 228
212 130 500 603
652 706 461 322
633 293 268 363
715 388 269 470
150 518 93 822
790 364 856 810
338 451 502 48
834 383 957 355
211 487 762 344
114 716 60 785
817 362 289 578
470 212 994 865
759 113 803 451
886 799 256 978
771 171 683 209
476 275 541 151
954 405 848 224
473 520 960 184
71 658 384 823
303 709 482 956
941 116 278 619
24 550 89 529
802 385 827 953
149 7 783 770
466 57 680 172
319 873 732 703
674 911 591 262
473 463 323 252
94 710 728 594
581 798 838 576
799 20 385 395
301 424 319 583
890 245 368 830
719 380 537 463
963 944 82 307
710 777 709 333
131 483 600 28
994 875 963 307
537 850 510 794
244 40 117 800
948 268 367 809
720 399 546 844
282 290 828 909
270 155 504 223
830 564 22 707
464 635 464 478
55 284 391 993
898 555 474 532
716 24 404 849
303 323 989 237
515 150 617 186
669 560 929 296
260 869 913 128
873 383 680 218
922 683 303 194
697 97 541 755
490 927 415 225
155 270 49 652
654 1 484 881
572 847 356 4
791 299 322 461
851 359 817 962
342 522 208 993
121 266 991 10
574 364 702 401
324 396 474 998
932 354 103 836
734 118 227 9
